file,line,variables,total
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",30,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",31,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",32,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",33,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",34,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",35,"bcrypt;jwt;mongoose;token;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",36,"bcrypt;jwt;mongoose;token;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",37,"bcrypt;jwt;mongoose;token;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",38,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",39,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",40,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",41,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",42,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",43,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",44,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",45,"bcrypt;jwt;mongoose;password;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",46,"bcrypt;jwt;mongoose;userSchema",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",47,"bcrypt;jwt;mongoose;userModel;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",48,"bcrypt;jwt;mongoose;userModel;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",49,"bcrypt;jwt;mongoose;userModel;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/models/user.model.js",50,"bcrypt;jwt;mongoose;userModel;userSchema",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",1,"userModel",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",2,"userModel",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",3,"userModel",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",4,"email;firstname;lastname;password;userModel",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",5,"email;firstname;lastname;password;userModel",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",6,"email;firstname;lastname;password;userModel",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",7,"email;firstname;lastname;password;userModel",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",8,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",9,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",10,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",11,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",12,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",13,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",14,"email;firstname;lastname;password;user;userModel",6
"/Users/pranjal/Desktop/Projects/UBER/Backend/services/user.services.js",15,"userModel",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",1,"blacklistTokenModel",1
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",2,"blacklistTokenModel;userModel",2
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",3,"blacklistTokenModel;userModel;userService",3
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",4,"blacklistTokenModel;userModel;userService;validationResult",4
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",5,"blackListTokenModel;blacklistTokenModel;userModel;userService;validationResult",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",6,"blackListTokenModel;blacklistTokenModel;userModel;userService;validationResult",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",7,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",8,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",9,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",10,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",11,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",12,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",13,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
